n,time,accuracy_mean,accuracy_std
100, 4.52583599091, 83.0, 0
70, 3.15396742821, 72.2, 3.76297754445
40, 1.8197766304, 66.4, 1.35646599663
10, 0.459609460831, 63.4, 7.0313583325
80, 3.63994579315, 78.2, 6.11228271597
50, 2.2481815815, 69.8, 4.11825205639
20, 0.933230495453, 63.2, 7.35934779719
90, 4.05095734596, 76.8, 4.99599839872
60, 2.7140042305, 73.2, 6.01331855135
30, 1.37391638756, 66.0, 3.16227766017
