n,time,accuracy_mean,accuracy_std
100, 2.09437704086, 79.0, 0
70, 1.88589844704, 68.8, 9.01997782702
40, 1.74757442474, 64.2, 11.4960862906
10, 1.58619637489, 55.0, 5.40370243444
80, 1.98023452759, 76.2, 3.86781592116
50, 1.76878862381, 67.4, 5.67802782663
20, 1.69702982903, 58.4, 5.4626001135
90, 2.05776281357, 76.8, 1.16619037897
60, 1.82242221832, 64.8, 7.08237248385
30, 1.64956641197, 56.2, 6.43117407633
